,Latitude,Longitude,Neighbourhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
162,48.14156315789474,11.5184,167,3,Supermarket,Tram Station,Drugstore,Bakery,Motorcycle Shop,Szechuan Restaurant,Rock Club,Salad Place,Business Service,Thai Restaurant
163,48.14156315789474,11.5333,168,28,Hotel,Asian Restaurant,Tram Station,German Restaurant,Gym,Doner Restaurant,Indian Restaurant,Boutique,Steakhouse,Breakfast Spot
164,48.14156315789474,11.5482,169,28,Hotel,Italian Restaurant,Café,Doner Restaurant,Bar,Bavarian Restaurant,Asian Restaurant,French Restaurant,Pizza Place,Office
165,48.14156315789474,11.5631,170,18,Hotel,Café,Middle Eastern Restaurant,Plaza,Restaurant,Burger Joint,History Museum,Indie Movie Theater,Italian Restaurant,Ice Cream Shop
166,48.14156315789474,11.578,171,18,Café,Plaza,Hotel,Cocktail Bar,German Restaurant,Italian Restaurant,Restaurant,Clothing Store,Coffee Shop,Bavarian Restaurant
167,48.14156315789474,11.5929,172,18,Italian Restaurant,Hotel,German Restaurant,Restaurant,Art Museum,Tram Station,Japanese Restaurant,Mexican Restaurant,Burger Joint,Café
168,48.14156315789474,11.607800000000001,173,18,Italian Restaurant,Supermarket,Restaurant,Indian Restaurant,Bakery,Drugstore,Greek Restaurant,Vietnamese Restaurant,Café,Gourmet Shop
169,48.14156315789474,11.6227,174,26,Hotel,Supermarket,Gym,Gourmet Shop,Organic Grocery,German Restaurant,Café,Metro Station,Bakery,Athletics & Sports
170,48.14156315789474,11.6376,175,30,Bus Stop,German Restaurant,Cafeteria,Business Service,Gym,Chinese Restaurant,Malay Restaurant,Fast Food Restaurant,Beer Garden,Organic Grocery
171,48.14156315789474,11.6525,176,28,Hotel,Bus Stop,Italian Restaurant,Greek Restaurant,Park,Beer Garden,Racetrack,Hardware Store,Flower Shop,Supermarket
172,48.14156315789474,11.6674,177,28,Racetrack,Bus Stop,Hotel,Thai Restaurant,Vietnamese Restaurant,Golf Course,Flea Market,Greek Restaurant,Stadium,Coffee Shop
173,48.14156315789474,11.6823,178,28,Hotel,Golf Course,Restaurant,Gym / Fitness Center,Performing Arts Venue,Fast Food Restaurant,Café,German Restaurant,Comfort Food Restaurant,Modern European Restaurant
174,48.14156315789474,11.6972,179,18,Café,Brewery,Gym / Fitness Center,Intersection,BBQ Joint,Monument / Landmark,Train Station,German Restaurant,Optical Shop,Outlet Store
175,48.14892105263158,11.4141,180,0,Bakery,Bus Stop,Gym / Fitness Center,Supermarket,Schnitzel Restaurant,Greek Restaurant,Pizza Place,Liquor Store,German Restaurant,Italian Restaurant
176,48.14892105263158,11.429,181,0,Bakery,Pide Place,Schnitzel Restaurant,Light Rail Station,Rest Area,Bus Stop,Supermarket,Pizza Place,Automotive Shop,Lake
177,48.14892105263158,11.4439,182,8,Supermarket,Asian Restaurant,Drugstore,Bowling Alley,Italian Restaurant,Rental Car Location,Pet Store,Automotive Shop,Bus Stop,Optical Shop
178,48.14892105263158,11.4588,183,18,Café,Italian Restaurant,Drugstore,Bakery,German Restaurant,Coffee Shop,Gym / Fitness Center,Fast Food Restaurant,Plaza,Clothing Store
179,48.14892105263158,11.4737,184,26,Supermarket,Tram Station,Bus Stop,Bakery,Liquor Store,Clothing Store,Pet Store,Pizza Place,Restaurant,Coffee Shop
180,48.14892105263158,11.4886,185,26,Supermarket,Design Studio,Dog Run,Gym / Fitness Center,Hostel,Auto Garage,Storage Facility,Italian Restaurant,Furniture / Home Store,Hotel
181,48.14892105263158,11.503499999999999,186,18,Italian Restaurant,Café,Drugstore,Athletics & Sports,Supermarket,Coffee Shop,Bank,Bakery,Salad Place,Motel
182,48.14892105263158,11.5184,187,26,Park,Light Rail Station,Supermarket,Trail,German Restaurant,Drugstore,Salad Place,Shopping Mall,Beer Garden,Skate Park
183,48.14892105263158,11.5333,188,18,Italian Restaurant,German Restaurant,Café,Bakery,Indian Restaurant,Supermarket,Ice Cream Shop,Pizza Place,Shipping Store,Gym
184,48.14892105263158,11.5482,189,18,Italian Restaurant,Hotel,German Restaurant,Vietnamese Restaurant,Café,Restaurant,Asian Restaurant,Doner Restaurant,Greek Restaurant,Trattoria/Osteria
185,48.14892105263158,11.5631,190,18,Café,Asian Restaurant,Middle Eastern Restaurant,Vietnamese Restaurant,History Museum,Art Museum,Japanese Restaurant,Italian Restaurant,Burger Joint,Restaurant
186,48.14892105263158,11.578,191,18,Café,Bar,Plaza,Italian Restaurant,Ice Cream Shop,Breakfast Spot,Restaurant,French Restaurant,Cocktail Bar,Bagel Shop
187,48.14892105263158,11.5929,192,18,Italian Restaurant,Café,German Restaurant,River,Ice Cream Shop,Beer Garden,Surf Spot,Supermarket,Cafeteria,Snack Place
188,48.14892105263158,11.607800000000001,193,18,Italian Restaurant,Plaza,Park,Bakery,Restaurant,Shopping Mall,Supermarket,Organic Grocery,Beer Garden,Gourmet Shop
189,48.14892105263158,11.6227,194,18,Italian Restaurant,Hotel,Metro Station,Café,Drugstore,Plaza,Gym / Fitness Center,Supermarket,Gym,Beer Garden
190,48.14892105263158,11.6376,195,30,Bus Stop,German Restaurant,Ice Cream Shop,Chinese Restaurant,Supermarket,Organic Grocery,Beer Garden,Greek Restaurant,Malay Restaurant,Bank
191,48.14892105263158,11.6525,196,0,Bus Stop,Supermarket,German Restaurant,Child Care Service,Bakery,Wine Shop,Light Rail Station,Bed & Breakfast,Restaurant,Dog Run
192,48.14892105263158,11.6674,197,0,Bus Stop,Racetrack,Golf Course,Bakery,Stadium,Bed & Breakfast,Vietnamese Restaurant,Dog Run,Restaurant,Flea Market
193,48.14892105263158,11.6823,198,28,Hotel,Italian Restaurant,Supermarket,Light Rail Station,Clothing Store,Modern European Restaurant,Restaurant,Bakery,Diner,Golf Course
194,48.14892105263158,11.6972,199,27,German Restaurant,Brewery,Thai Restaurant,Modern European Restaurant,Soccer Field,Train Station,Office,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
195,48.15627894736842,11.4141,200,28,Bakery,Post Office,Hotel,Light Rail Station,Greek Restaurant,German Restaurant,Supermarket,Photography Studio,Gym / Fitness Center,Indian Restaurant
196,48.15627894736842,11.429,201,28,Light Rail Station,Hotel,Bakery,Lake,Train Station,Rest Area,Supermarket,Soccer Field,Nature Preserve,Music Venue
197,48.15627894736842,11.4439,202,8,Supermarket,Drugstore,German Restaurant,Bowling Alley,Yoga Studio,Pharmacy,Pet Store,Bakery,Train Station,Bus Stop
198,48.15627894736842,11.4588,203,26,Supermarket,Theater,Yoga Studio,Fried Chicken Joint,Theme Restaurant,Gym / Fitness Center,Italian Restaurant,Bus Stop,German Restaurant,Trattoria/Osteria
199,48.15627894736842,11.4737,204,8,Supermarket,Bus Stop,Bakery,Doner Restaurant,Gym Pool,Thrift / Vintage Store,Rental Car Location,Palace,Outlet Store,Outdoors & Recreation
200,48.15627894736842,11.4886,205,30,Fountain,Monument / Landmark,Canal,Historic Site,Lake,Park,Bus Stop,Nightclub,Music Venue,Palace
201,48.15627894736842,11.503499999999999,206,18,Café,Italian Restaurant,German Restaurant,Greek Restaurant,Palace,Ice Cream Shop,Tram Station,Bus Stop,Supermarket,Canal
202,48.15627894736842,11.5184,207,18,Italian Restaurant,Tram Station,German Restaurant,Greek Restaurant,Plaza,Light Rail Station,Ice Cream Shop,Canal,Tennis Court,Bakery
203,48.15627894736842,11.5333,208,18,Italian Restaurant,Bakery,Plaza,German Restaurant,Ice Cream Shop,Park,Indian Restaurant,Pizza Place,Restaurant,Bus Stop
204,48.15627894736842,11.5482,209,18,Italian Restaurant,German Restaurant,Vietnamese Restaurant,Hotel,Bar,Restaurant,Plaza,Organic Grocery,Middle Eastern Restaurant,Bakery
205,48.15627894736842,11.5631,210,18,Bar,Café,Asian Restaurant,Trattoria/Osteria,German Restaurant,Vietnamese Restaurant,Falafel Restaurant,Mediterranean Restaurant,Italian Restaurant,Gastropub
206,48.15627894736842,11.578,211,18,Café,Bar,Ice Cream Shop,Italian Restaurant,Pizza Place,Restaurant,Bakery,Breakfast Spot,Vietnamese Restaurant,Trattoria/Osteria
207,48.15627894736842,11.5929,212,18,Bar,Trattoria/Osteria,Café,Comedy Club,Bus Stop,Beer Garden,German Restaurant,Hotel,Playground,Convenience Store
208,48.15627894736842,11.607800000000001,213,18,Plaza,Tram Station,Bus Stop,Café,Hostel,Tennis Court,Organic Grocery,German Restaurant,Trattoria/Osteria,Athletics & Sports
209,48.15627894736842,11.6227,214,18,Italian Restaurant,Gym / Fitness Center,Hotel,Plaza,Asian Restaurant,Café,Beer Garden,Bus Stop,Water Park,Pharmacy
210,48.15627894736842,11.6376,215,0,Drugstore,Bus Stop,Italian Restaurant,Bank,Water Park,Bakery,Pharmacy,Greek Restaurant,Park,Indian Restaurant
211,48.15627894736842,11.6525,216,18,Light Rail Station,Wine Shop,Café,Home Service,Music Venue,Music Store,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation
212,48.15627894736842,11.6674,217,25,Home Service,Bus Stop,Park,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
213,48.15627894736842,11.6823,218,26,Supermarket,Thai Restaurant,IT Services,Italian Restaurant,Hotel,Drugstore,Diner,Clothing Store,German Restaurant,Palace
214,48.15627894736842,11.6972,219,27,German Restaurant,Thai Restaurant,Soccer Field,Drive-in Theater,Office,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
215,48.16363684210526,11.4141,220,28,Bakery,Hotel,German Restaurant,Photography Studio,Bistro,Soccer Field,Supermarket,Post Office,Nature Preserve,Office
216,48.16363684210526,11.429,221,8,Bus Stop,Light Rail Station,Soccer Field,Train Station,Supermarket,Office,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
217,48.16363684210526,11.4439,222,0,Bakery,Hotel,Train Station,Pharmacy,Supermarket,Bus Stop,Nature Preserve,Music Store,Palace,Outlet Store
218,48.16363684210526,11.4588,223,28,German Restaurant,Hotel,Park,Fried Chicken Joint,Castle,Bakery,Greek Restaurant,Tennis Court,Indian Restaurant,Italian Restaurant
219,48.16363684210526,11.4737,224,0,Bakery,Bus Stop,Park,Light Rail Station,Drugstore,Taverna,Athletics & Sports,Hostel,Beer Garden,Discount Store
220,48.16363684210526,11.4886,225,28,Hotel,Taverna,Historic Site,Organic Grocery,Canal,Palace,Rest Area,Vegetarian / Vegan Restaurant,Light Rail Station,Bus Stop
221,48.16363684210526,11.503499999999999,226,18,Bus Stop,Light Rail Station,Café,Canal,Gastropub,Steakhouse,Palace,Beer Garden,Greek Restaurant,Supermarket
222,48.16363684210526,11.5184,227,18,Theater,Steakhouse,Park,Canal,Light Rail Station,Supermarket,Café,German Restaurant,Restaurant,Tennis Court
223,48.16363684210526,11.5333,228,18,Café,German Restaurant,Italian Restaurant,Trattoria/Osteria,Gastropub,Gym,Supermarket,Hotel,Pool,Beer Garden
224,48.16363684210526,11.5482,229,26,Hotel,Supermarket,Italian Restaurant,Middle Eastern Restaurant,Bakery,Bar,Event Space,Performing Arts Venue,Hill,Church
225,48.16363684210526,11.5631,230,18,Italian Restaurant,Trattoria/Osteria,Supermarket,Bar,Café,Mexican Restaurant,Greek Restaurant,Vietnamese Restaurant,German Restaurant,Park
226,48.16363684210526,11.578,231,18,Italian Restaurant,Café,Thai Restaurant,Plaza,Vietnamese Restaurant,Indian Restaurant,Hotel,Movie Theater,Organic Grocery,Supermarket
227,48.16363684210526,11.5929,232,18,Bar,German Restaurant,Trattoria/Osteria,Italian Restaurant,Burger Joint,Comedy Club,Hotel,Thai Restaurant,Afghan Restaurant,Historic Site
228,48.16363684210526,11.607800000000001,233,18,Park,Tennis Court,Bathing Area,Bavarian Restaurant,Volleyball Court,Café,Beer Garden,ATM,Optical Shop,Outdoors & Recreation
229,48.16363684210526,11.6227,234,0,Bus Stop,Tunnel,Bar,Tram Station,Bakery,Asian Restaurant,German Restaurant,Beer Garden,Hotel,Gas Station
230,48.16363684210526,11.6376,235,26,Supermarket,Bakery,Drugstore,Tram Station,Bus Stop,Lake,German Restaurant,Park,Asian Restaurant,Ice Cream Shop
231,48.16363684210526,11.6525,236,26,Astrologer,German Restaurant,Lottery Retailer,Light Rail Station,Italian Restaurant,Bus Stop,Café,Supermarket,Palace,Outlet Store
232,48.16363684210526,11.6674,237,25,Bus Stop,Home Service,Garden Center,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
233,48.16363684210526,11.6823,238,27,Botanical Garden,Dog Run,Snack Place,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
234,48.16363684210526,11.6972,239,23,Drive-in Theater,ATM,Pastry Shop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
235,48.170994736842104,11.4141,240,4,Juice Bar,Light Rail Station,Soccer Field,Playground,Dog Run,ATM,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
236,48.170994736842104,11.429,241,4,Playground,Juice Bar,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
237,48.170994736842104,11.4439,242,17,Rest Area,Campground,Garden Center,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
